4 6
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  3.879088e-01, T: 6.3096e-01, no:       2, try:     17000000
emin+1:  0.000000e+00, e+1:  3.867653e-01, T: 4.7276e-01, no:       7, try:     25500000
emin+1:  0.000000e+00, e+1:  3.855824e-01, T: 3.9811e-01, no:       1, try:     34000000
emin+1:  0.000000e+00, e+1:  3.840241e-01, T: 2.9829e-01, no:       3, try:     42500000
emin+1:  0.000000e+00, e+1:  3.825614e-01, T: 2.5119e-01, no:       2, try:     51000000
emin+1:  0.000000e+00, e+1:  3.804879e-01, T: 1.8821e-01, no:       0, try:     59500000
emin+1:  0.000000e+00, e+1:  3.769525e-01, T: 1.5849e-01, no:       1, try:     68000000
emin+1:  0.000000e+00, e+1:  3.722064e-01, T: 1.1875e-01, no:       0, try:     76500000
emin+1:  0.000000e+00, e+1:  3.686206e-01, T: 1.0000e-01, no:       1, try:     85000000
emin+1:  0.000000e+00, e+1:  3.609098e-01, T: 7.4928e-02, no:       1, try:     93500000
emin+1:  0.000000e+00, e+1:  3.509939e-01, T: 6.3096e-02, no:       3, try:    102000000
emin+1:  0.000000e+00, e+1:  3.377236e-01, T: 4.7276e-02, no:       0, try:    110500000
emin+1:  0.000000e+00, e+1:  3.221837e-01, T: 3.9811e-02, no:       1, try:    119000000
emin+1:  0.000000e+00, e+1:  2.942614e-01, T: 2.9829e-02, no:       0, try:    127500000
emin+1:  0.000000e+00, e+1:  2.612664e-01, T: 2.5119e-02, no:       2, try:    136000000
emin+1: -2.225099e-02, e+1:  2.083850e-01, T: 1.8821e-02, no:       1, try:    144500000
emin+1: -3.469504e-02, e+1:  1.552777e-01, T: 1.5849e-02, no:       0, try:    153000000
emin+1: -5.067675e-02, e+1:  1.004933e-01, T: 1.1875e-02, no:       1, try:    161500000
emin+1: -5.699786e-02, e+1:  6.531832e-02, T: 1.0000e-02, no:       0, try:    170000000
emin+1: -6.435587e-02, e+1:  3.895378e-02, T: 7.4928e-03, no:       0, try:    178500000
emin+1: -8.013437e-02, e+1:  1.919359e-02, T: 6.3096e-03, no:       2, try:    187000000
emin+1: -8.013437e-02, e+1: -1.742677e-03, T: 4.7276e-03, no:       1, try:    195500000
emin+1: -8.984300e-02, e+1: -2.101005e-02, T: 3.9811e-03, no:       2, try:    204000000
emin+1: -1.073659e-01, e+1: -4.206600e-02, T: 2.9829e-03, no:       5, try:    212500000
emin+1: -1.076341e-01, e+1: -5.962509e-02, T: 2.5119e-03, no:       1, try:    221000000
emin+1: -1.098009e-01, e+1: -7.538304e-02, T: 1.8821e-03, no:       2, try:    229500000
emin+1: -1.125355e-01, e+1: -8.609740e-02, T: 1.5849e-03, no:       1, try:    238000000
emin+1: -1.153607e-01, e+1: -9.470999e-02, T: 1.1875e-03, no:       1, try:    246500000
emin+1: -1.158465e-01, e+1: -1.003832e-01, T: 1.0000e-03, no:       0, try:    255000000
emin+1: -1.168560e-01, e+1: -1.049424e-01, T: 7.4928e-04, no:       1, try:    263500000
emin+1: -1.181851e-01, e+1: -1.084146e-01, T: 6.3096e-04, no:       2, try:    272000000
emin+1: -1.188717e-01, e+1: -1.111347e-01, T: 4.7276e-04, no:       2, try:    280500000
emin+1: -1.194874e-01, e+1: -1.132909e-01, T: 3.9811e-04, no:       1, try:    289000000
emin+1: -1.196987e-01, e+1: -1.149531e-01, T: 2.9829e-04, no:       0, try:    297500000
emin+1: -1.201264e-01, e+1: -1.162597e-01, T: 2.5119e-04, no:       0, try:    306000000
emin+1: -1.202790e-01, e+1: -1.173063e-01, T: 1.8821e-04, no:       3, try:    314500000
emin+1: -1.205189e-01, e+1: -1.181001e-01, T: 1.5849e-04, no:       6, try:    323000000
emin+1: -1.207365e-01, e+1: -1.187971e-01, T: 1.1875e-04, no:       0, try:    331500000
emin+1: -1.207541e-01, e+1: -1.192933e-01, T: 1.0000e-04, no:       7, try:    340000000
emin+1: -1.209222e-01, e+1: -1.197206e-01, T: 7.4928e-05, no:       1, try:    348500000
