1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-11, no:  108288, try:     55000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-12, no:  143031, try:     55500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-12, no:   25929, try:     56000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-12, no:   16943, try:     56500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-12, no:   21317, try:     57000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-12, no:    9483, try:     57500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-12, no:   28133, try:     58000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-12, no:    2151, try:     58500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-12, no:   92772, try:     59000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-12, no:    7449, try:     59500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-12, no:   34992, try:     60000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-13, no:    6838, try:     60500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-13, no:  171367, try:     61000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-13, no:  110513, try:     61500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-13, no:  610513, try:     62000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-13, no: 1110513, try:     62500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-13, no:   26381, try:     63000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-13, no:  526381, try:     63500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-13, no: 1026381, try:     64000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-13, no:  425692, try:     64500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-13, no:  925692, try:     65000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-14, no: 1425692, try:     65500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-14, no: 1925692, try:     66000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-14, no: 2425692, try:     66500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-14, no: 2925692, try:     67000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-14, no: 3425692, try:     67500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-14, no:  282898, try:     68000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-14, no:  489406, try:     68500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-14, no:  989406, try:     69000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-14, no: 1489406, try:     69500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-14, no: 1989406, try:     70000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-15, no: 2489406, try:     70500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-15, no: 2989406, try:     71000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-15, no: 3489406, try:     71500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-15, no:  227871, try:     72000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-15, no:  727871, try:     72500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-15, no:  491048, try:     73000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-15, no:  991048, try:     73500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-15, no: 1491048, try:     74000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-15, no: 1991048, try:     74500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-15, no: 2491048, try:     75000000

Last chain: -1.414213562373092953759930179e+00
Best chain: -1.414213562373092953759930179e+00 (-1.414213562373092953759930179e+00)

Error: length:  5.551115123125782702118158340e-17, angle:  0.000000000000000000000000000e+00


Last chain: -1.414213562373092953759930179e+00
Best chain: -1.414213562373092953759930179e+00 (-1.414213562373092953759930179e+00)

Error: length:  5.551115123125782702118158340e-17, angle:  0.000000000000000000000000000e+00


1 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
