2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -7.407474e-01, e+1: -7.388950e-01, T: 1.0000e-04, no:       3, try:     81000000
emin+1: -7.408124e-01, e+1: -7.395382e-01, T: 7.4928e-05, no:       3, try:     83025000
emin+1: -7.408870e-01, e+1: -7.399593e-01, T: 6.3096e-05, no:       1, try:     85050000
emin+1: -7.410877e-01, e+1: -7.402737e-01, T: 4.7276e-05, no:      10, try:     87075000
emin+1: -7.411999e-01, e+1: -7.405493e-01, T: 3.9811e-05, no:       1, try:     89100000
emin+1: -7.413548e-01, e+1: -7.407941e-01, T: 2.9829e-05, no:       1, try:     91125000
emin+1: -7.413607e-01, e+1: -7.409890e-01, T: 2.5119e-05, no:       2, try:     93150000
emin+1: -7.414310e-01, e+1: -7.411268e-01, T: 1.8821e-05, no:       5, try:     95175000
emin+1: -7.414990e-01, e+1: -7.412244e-01, T: 1.5849e-05, no:       8, try:     97200000
emin+1: -7.415351e-01, e+1: -7.413254e-01, T: 1.1875e-05, no:       3, try:     99225000
emin+1: -7.415474e-01, e+1: -7.413989e-01, T: 1.0000e-05, no:      16, try:    101250000
emin+1: -7.415606e-01, e+1: -7.414532e-01, T: 7.4928e-06, no:      21, try:    103275000
emin+1: -7.415867e-01, e+1: -7.414847e-01, T: 6.3096e-06, no:       4, try:    105300000
emin+1: -7.416024e-01, e+1: -7.415310e-01, T: 4.7276e-06, no:      69, try:    107325000
emin+1: -7.416096e-01, e+1: -7.415443e-01, T: 3.9811e-06, no:       6, try:    109350000
emin+1: -7.416227e-01, e+1: -7.415735e-01, T: 2.9829e-06, no:       1, try:    111375000
emin+1: -7.416281e-01, e+1: -7.415867e-01, T: 2.5119e-06, no:       1, try:    113400000
emin+1: -7.416401e-01, e+1: -7.416076e-01, T: 1.8821e-06, no:     153, try:    115425000
emin+1: -7.416401e-01, e+1: -7.416144e-01, T: 1.5849e-06, no:      71, try:    117450000
emin+1: -7.416449e-01, e+1: -7.416247e-01, T: 1.1875e-06, no:      77, try:    119475000
emin+1: -7.416449e-01, e+1: -7.416309e-01, T: 1.0000e-06, no:      76, try:    121500000
emin+1: -7.416475e-01, e+1: -7.416359e-01, T: 7.4928e-07, no:      68, try:    123525000
emin+1: -7.416481e-01, e+1: -7.416405e-01, T: 6.3096e-07, no:      69, try:    125550000
emin+1: -7.416507e-01, e+1: -7.416437e-01, T: 4.7276e-07, no:      12, try:    127575000
emin+1: -7.416529e-01, e+1: -7.416467e-01, T: 3.9811e-07, no:     168, try:    129600000
emin+1: -7.416536e-01, e+1: -7.416488e-01, T: 2.9829e-07, no:      72, try:    131625000
emin+1: -7.416539e-01, e+1: -7.416505e-01, T: 2.5119e-07, no:     358, try:    133650000
emin+1: -7.416548e-01, e+1: -7.416522e-01, T: 1.8821e-07, no:      38, try:    135675000
emin+1: -7.416553e-01, e+1: -7.416533e-01, T: 1.5849e-07, no:     184, try:    137700000
emin+1: -7.416554e-01, e+1: -7.416539e-01, T: 1.1875e-07, no:     267, try:    139725000
emin+1: -7.416560e-01, e+1: -7.416547e-01, T: 1.0000e-07, no:      89, try:    141750000
emin+1: -7.416563e-01, e+1: -7.416554e-01, T: 7.4928e-08, no:      22, try:    143775000
emin+1: -7.416564e-01, e+1: -7.416555e-01, T: 6.3096e-08, no:     243, try:    145800000
emin+1: -7.416567e-01, e+1: -7.416560e-01, T: 4.7276e-08, no:     304, try:    147825000
emin+1: -7.416568e-01, e+1: -7.416563e-01, T: 3.9811e-08, no:     343, try:    149850000
emin+1: -7.416569e-01, e+1: -7.416565e-01, T: 2.9829e-08, no:      65, try:    151875000
emin+1: -7.416570e-01, e+1: -7.416568e-01, T: 2.5119e-08, no:     810, try:    153900000
emin+1: -7.416572e-01, e+1: -7.416569e-01, T: 1.8821e-08, no:     237, try:    155925000
emin+1: -7.416572e-01, e+1: -7.416570e-01, T: 1.5849e-08, no:    1403, try:    157950000
emin+1: -7.416572e-01, e+1: -7.416571e-01, T: 1.1875e-08, no:     921, try:    159975000
emin+1: -7.416572e-01, e+1: -7.416571e-01, T: 1.0000e-08, no:     130, try:    162000000
emin+1: -7.416573e-01, e+1: -7.416572e-01, T: 7.4928e-09, no:     443, try:    164025000
emin+1: -7.416573e-01, e+1: -7.416572e-01, T: 6.3096e-09, no:     231, try:    166050000
emin+1: -7.416573e-01, e+1: -7.416572e-01, T: 4.7276e-09, no:     241, try:    168075000
emin+1: -7.416573e-01, e+1: -7.416573e-01, T: 3.9811e-09, no:     228, try:    170100000
emin+1: -7.416573e-01, e+1: -7.416573e-01, T: 2.9829e-09, no:    1171, try:    172125000
emin+1: -7.416573e-01, e+1: -7.416573e-01, T: 2.5119e-09, no:    1073, try:    174150000
emin+1: -7.416573e-01, e+1: -7.416573e-01, T: 1.8821e-09, no:     650, try:    176175000
emin+1: -7.416574e-01, e+1: -7.416573e-01, T: 1.5849e-09, no:     480, try:    178200000
emin+1: -7.416574e-01, e+1: -7.416573e-01, T: 1.1875e-09, no:     867, try:    180225000
emin+1: -7.416574e-01, e+1: -7.416573e-01, T: 1.0000e-09, no:     486, try:    182250000
emin+1: -7.416574e-01, e+1: -7.416573e-01, T: 7.4928e-10, no:    1527, try:    184275000
emin+1: -7.416574e-01, e+1: -7.416573e-01, T: 6.3096e-10, no:      88, try:    186300000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 4.7276e-10, no:     389, try:    188325000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 3.9811e-10, no:     774, try:    190350000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.9829e-10, no:     753, try:    192375000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.5119e-10, no:      11, try:    194400000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.8821e-10, no:     966, try:    196425000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.5849e-10, no:     965, try:    198450000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.1875e-10, no:     185, try:    200475000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.0000e-10, no:    1302, try:    202500000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 7.4928e-11, no:     713, try:    204525000
