3 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -5.432978e-01, e+1: -3.719225e+00, T: 7.4928e-01, no:       1, try:  10800000000
emin+1: -1.236671e+00, e+1:  5.129331e+00, T: 3.9811e-04, no:       1, try: 367200000000
emin+1: -1.238357e+00, e+1:  4.614138e+00, T: 2.9829e-04, no:       0, try: 378000000000
emin+1: -1.238519e+00, e+1:  4.213216e+00, T: 2.5119e-04, no:       1, try: 388800000000
emin+1: -1.240052e+00, e+1:  3.772997e+00, T: 1.8821e-04, no:       1, try: 399600000000
emin+1: -1.240857e+00, e+1:  3.338388e+00, T: 1.5849e-04, no:       2, try: 410400000000
emin+1: -1.241557e+00, e+1: -1.237103e+00, T: 1.1875e-04, no:       7, try: 421200000000
emin+1: -1.241871e+00, e+1: -1.238564e+00, T: 1.0000e-04, no:       8, try: 432000000000
emin+1: -1.242246e+00, e+1: -1.239711e+00, T: 7.4928e-05, no:       1, try: 442800000000
emin+1: -1.242488e+00, e+1: -1.240520e+00, T: 6.3096e-05, no:       2, try: 453600000000
emin+1: -1.242676e+00, e+1: -1.241164e+00, T: 4.7276e-05, no:       1, try: 464400000000
emin+1: -1.242877e+00, e+1: -1.241647e+00, T: 3.9811e-05, no:       3, try: 475200000000
emin+1: -1.243016e+00, e+1: -1.242043e+00, T: 2.9829e-05, no:       8, try: 486000000000
emin+1: -1.243104e+00, e+1: -1.242343e+00, T: 2.5119e-05, no:      10, try: 496800000000
emin+1: -1.243201e+00, e+1: -1.242590e+00, T: 1.8821e-05, no:      17, try: 507600000000
emin+1: -1.243272e+00, e+1: -1.242778e+00, T: 1.5849e-05, no:      20, try: 518400000000
emin+1: -1.243303e+00, e+1: -1.242933e+00, T: 1.1875e-05, no:      10, try: 529200000000
emin+1: -1.243357e+00, e+1: -1.243051e+00, T: 1.0000e-05, no:       6, try: 540000000000
emin+1: -1.243401e+00, e+1: -1.243149e+00, T: 7.4928e-06, no:      61, try: 550800000000
emin+1: -1.243405e+00, e+1: -1.243223e+00, T: 6.3096e-06, no:      94, try: 561600000000
emin+1: -1.243435e+00, e+1: -1.243285e+00, T: 4.7276e-06, no:       1, try: 572400000000
emin+1: -1.243447e+00, e+1: -1.243332e+00, T: 3.9811e-06, no:      39, try: 583200000000
emin+1: -1.243466e+00, e+1: -1.243371e+00, T: 2.9829e-06, no:      34, try: 594000000000
emin+1: -1.243473e+00, e+1: -1.243400e+00, T: 2.5119e-06, no:      24, try: 604800000000
emin+1: -1.243482e+00, e+1: -1.243425e+00, T: 1.8821e-06, no:       5, try: 615600000000
emin+1: -1.243490e+00, e+1: -1.243444e+00, T: 1.5849e-06, no:      69, try: 626400000000
emin+1: -1.243496e+00, e+1: -1.243459e+00, T: 1.1875e-06, no:      12, try: 637200000000
emin+1: -1.243500e+00, e+1: -1.243471e+00, T: 1.0000e-06, no:      15, try: 648000000000
emin+1: -1.243506e+00, e+1: -1.243481e+00, T: 7.4928e-07, no:      90, try: 658800000000
emin+1: -1.243506e+00, e+1: -1.243488e+00, T: 6.3096e-07, no:      70, try: 669600000000
emin+1: -1.243509e+00, e+1: -1.243494e+00, T: 4.7276e-07, no:      44, try: 680400000000
emin+1: -1.243511e+00, e+1: -1.243499e+00, T: 3.9811e-07, no:     151, try: 691200000000
emin+1: -1.243512e+00, e+1: -1.243503e+00, T: 2.9829e-07, no:      68, try: 702000000000
emin+1: -1.243513e+00, e+1: -1.243506e+00, T: 2.5119e-07, no:      15, try: 712800000000
emin+1: -1.243514e+00, e+1: -1.243508e+00, T: 1.8821e-07, no:     117, try: 723600000000
emin+1: -1.243515e+00, e+1: -1.243510e+00, T: 1.5849e-07, no:     200, try: 734400000000
emin+1: -1.243515e+00, e+1: -1.243512e+00, T: 1.1875e-07, no:      83, try: 745200000000
emin+1: -1.243516e+00, e+1: -1.243513e+00, T: 1.0000e-07, no:     107, try: 756000000000
emin+1: -1.243516e+00, e+1: -1.243514e+00, T: 7.4928e-08, no:     215, try: 766800000000
emin+1: -1.243516e+00, e+1: -1.243514e+00, T: 6.3096e-08, no:     219, try: 777600000000
emin+1: -1.243517e+00, e+1: -1.243515e+00, T: 4.7276e-08, no:     232, try: 788400000000
emin+1: -1.243517e+00, e+1: -1.243516e+00, T: 3.9811e-08, no:     307, try: 799200000000
