2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
Last chain: -1.060660163502052096094058209e+00
Best chain: -1.060660163643670052605050280e+00 (-1.060660163643670052605050280e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


Last chain: -1.060660163502052096094058209e+00
Best chain: -1.060660163643670052605050280e+00 (-1.060660163643670052605050280e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


3 5
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  3.020307e-01, T: 7.4928e-01, no:       3, try:        15500
emin+1:  0.000000e+00, e+1:  3.128577e-01, T: 6.3096e-01, no:       1, try:        31000
emin+1:  0.000000e+00, e+1:  3.104130e-01, T: 4.7276e-01, no:       2, try:        46500
emin+1:  0.000000e+00, e+1:  3.032241e-01, T: 3.9811e-01, no:       2, try:        62000
emin+1:  0.000000e+00, e+1:  3.085518e-01, T: 2.9829e-01, no:       0, try:        77500
emin+1:  0.000000e+00, e+1:  2.937942e-01, T: 2.5119e-01, no:       0, try:        93000
emin+1:  0.000000e+00, e+1:  2.850354e-01, T: 1.8821e-01, no:       0, try:       108500
emin+1:  0.000000e+00, e+1:  3.083649e-01, T: 1.5849e-01, no:       1, try:       124000
emin+1:  0.000000e+00, e+1:  2.855921e-01, T: 1.1875e-01, no:       0, try:       139500
emin+1:  0.000000e+00, e+1:  2.688808e-01, T: 1.0000e-01, no:       1, try:       155000
emin+1:  0.000000e+00, e+1:  2.687463e-01, T: 7.4928e-02, no:       0, try:       170500
emin+1:  0.000000e+00, e+1:  2.494134e-01, T: 6.3096e-02, no:       0, try:       186000
emin+1: -2.935991e-02, e+1:  2.184617e-01, T: 4.7276e-02, no:       3, try:       201500
emin+1: -2.935991e-02, e+1:  1.367853e-01, T: 3.9811e-02, no:       1, try:       217000
emin+1: -2.935991e-02, e+1:  1.294196e-01, T: 2.9829e-02, no:       1, try:       232500
emin+1: -3.089335e-02, e+1:  7.461632e-02, T: 2.5119e-02, no:       1, try:       248000
emin+1: -3.089335e-02, e+1:  5.842775e-02, T: 1.8821e-02, no:       0, try:       263500
emin+1: -3.089335e-02, e+1:  4.373305e-02, T: 1.5849e-02, no:       0, try:       279000
emin+1: -3.633125e-02, e+1:  3.836792e-02, T: 1.1875e-02, no:       0, try:       294500
emin+1: -8.243264e-02, e+1: -1.116266e-02, T: 1.0000e-02, no:       3, try:       310000
emin+1: -8.243264e-02, e+1: -1.427269e-02, T: 7.4928e-03, no:       0, try:       325500
emin+1: -8.243264e-02, e+1: -2.936688e-02, T: 6.3096e-03, no:       0, try:       341000
emin+1: -8.243264e-02, e+1: -4.980942e-02, T: 4.7276e-03, no:       0, try:       356500
emin+1: -8.281876e-02, e+1: -5.121983e-02, T: 3.9811e-03, no:       2, try:       372000
emin+1: -8.281876e-02, e+1: -4.180756e-02, T: 2.9829e-03, no:       1, try:       387500
emin+1: -8.890982e-02, e+1: -6.956297e-02, T: 2.5119e-03, no:       2, try:       403000
emin+1: -9.105013e-02, e+1: -7.358386e-02, T: 1.8821e-03, no:       0, try:       418500
emin+1: -9.152977e-02, e+1: -8.004726e-02, T: 1.5849e-03, no:       4, try:       434000
emin+1: -9.331124e-02, e+1: -8.223882e-02, T: 1.1875e-03, no:       8, try:       449500
emin+1: -9.354969e-02, e+1: -8.576428e-02, T: 1.0000e-03, no:       2, try:       465000
emin+1: -9.495763e-02, e+1: -8.910057e-02, T: 7.4928e-04, no:       3, try:       480500
emin+1: -9.495763e-02, e+1: -9.012347e-02, T: 6.3096e-04, no:       5, try:       496000
emin+1: -9.526592e-02, e+1: -9.123138e-02, T: 4.7276e-04, no:       2, try:       511500
emin+1: -9.557185e-02, e+1: -9.225216e-02, T: 3.9811e-04, no:       0, try:       527000
emin+1: -9.557185e-02, e+1: -9.323819e-02, T: 2.9829e-04, no:       1, try:       542500
emin+1: -9.584793e-02, e+1: -9.399602e-02, T: 2.5119e-04, no:       1, try:       558000
emin+1: -9.584793e-02, e+1: -9.452666e-02, T: 1.8821e-04, no:       4, try:       573500
emin+1: -9.605790e-02, e+1: -9.487028e-02, T: 1.5849e-04, no:      22, try:       589000
emin+1: -9.605790e-02, e+1: -9.508610e-02, T: 1.1875e-04, no:      25, try:       604500
emin+1: -9.605790e-02, e+1: -9.533264e-02, T: 1.0000e-04, no:      11, try:       620000
emin+1: -9.605790e-02, e+1: -9.547887e-02, T: 7.4928e-05, no:       1, try:       635500
emin+1: -9.614764e-02, e+1: -9.570332e-02, T: 6.3096e-05, no:       6, try:       651000
emin+1: -9.625941e-02, e+1: -9.586085e-02, T: 4.7276e-05, no:       9, try:       666500
emin+1: -9.625941e-02, e+1: -9.591738e-02, T: 3.9811e-05, no:       6, try:       682000
emin+1: -9.629392e-02, e+1: -9.604246e-02, T: 2.9829e-05, no:       4, try:       697500
emin+1: -9.629392e-02, e+1: -9.612578e-02, T: 2.5119e-05, no:       3, try:       713000
emin+1: -9.632816e-02, e+1: -9.618552e-02, T: 1.8821e-05, no:       8, try:       728500
emin+1: -9.632816e-02, e+1: -9.620951e-02, T: 1.5849e-05, no:       9, try:       744000
emin+1: -9.633364e-02, e+1: -9.624466e-02, T: 1.1875e-05, no:       7, try:       759500
emin+1: -9.633906e-02, e+1: -9.627428e-02, T: 1.0000e-05, no:      10, try:       775000
emin+1: -9.634865e-02, e+1: -9.629093e-02, T: 7.4928e-06, no:       3, try:       790500
emin+1: -9.634865e-02, e+1: -9.630658e-02, T: 6.3096e-06, no:      17, try:       806000
emin+1: -9.635805e-02, e+1: -9.631501e-02, T: 4.7276e-06, no:      82, try:       821500
emin+1: -9.636881e-02, e+1: -9.633585e-02, T: 3.9811e-06, no:      59, try:       837000
emin+1: -9.636881e-02, e+1: -9.633473e-02, T: 2.9829e-06, no:      14, try:       852500
emin+1: -9.636881e-02, e+1: -9.635079e-02, T: 2.5119e-06, no:      10, try:       868000
emin+1: -9.636881e-02, e+1: -9.635821e-02, T: 1.8821e-06, no:      52, try:       883500
emin+1: -9.637029e-02, e+1: -9.636284e-02, T: 1.5849e-06, no:      18, try:       899000
emin+1: -9.637029e-02, e+1: -9.636031e-02, T: 1.1875e-06, no:      21, try:       914500
emin+1: -9.637181e-02, e+1: -9.636613e-02, T: 1.0000e-06, no:       0, try:       930000
emin+1: -9.637181e-02, e+1: -9.636894e-02, T: 7.4928e-07, no:      15, try:       945500
emin+1: -9.637181e-02, e+1: -9.636995e-02, T: 6.3096e-07, no:      55, try:       961000
emin+1: -9.637321e-02, e+1: -9.637069e-02, T: 4.7276e-07, no:      39, try:       976500
emin+1: -9.637468e-02, e+1: -9.637212e-02, T: 3.9811e-07, no:      50, try:       992000
emin+1: -9.637468e-02, e+1: -9.637207e-02, T: 2.9829e-07, no:      86, try:      1007500
emin+1: -9.637550e-02, e+1: -9.637365e-02, T: 2.5119e-07, no:     197, try:      1023000
emin+1: -9.637550e-02, e+1: -9.637459e-02, T: 1.8821e-07, no:     107, try:      1038500
emin+1: -9.637551e-02, e+1: -9.637461e-02, T: 1.5849e-07, no:      80, try:      1054000
emin+1: -9.637551e-02, e+1: -9.637521e-02, T: 1.1875e-07, no:      72, try:      1069500
emin+1: -9.637554e-02, e+1: -9.637536e-02, T: 1.0000e-07, no:     181, try:      1085000
emin+1: -9.637587e-02, e+1: -9.637565e-02, T: 7.4928e-08, no:       1, try:      1100500
emin+1: -9.637587e-02, e+1: -9.637554e-02, T: 6.3096e-08, no:      31, try:      1116000
emin+1: -9.637587e-02, e+1: -9.637553e-02, T: 4.7276e-08, no:     370, try:      1131500
emin+1: -9.637587e-02, e+1: -9.637560e-02, T: 3.9811e-08, no:      15, try:      1147000
emin+1: -9.637594e-02, e+1: -9.637575e-02, T: 2.9829e-08, no:     230, try:      1162500
emin+1: -9.637614e-02, e+1: -9.637600e-02, T: 2.5119e-08, no:      79, try:      1178000
emin+1: -9.637617e-02, e+1: -9.637615e-02, T: 1.8821e-08, no:     113, try:      1193500
emin+1: -9.637620e-02, e+1: -9.637614e-02, T: 1.5849e-08, no:     124, try:      1209000
emin+1: -9.637622e-02, e+1: -9.637617e-02, T: 1.1875e-08, no:      82, try:      1224500
emin+1: -9.637624e-02, e+1: -9.637622e-02, T: 1.0000e-08, no:    1940, try:      1240000
emin+1: -9.637624e-02, e+1: -9.637622e-02, T: 7.4928e-09, no:     241, try:      1255500
emin+1: -9.637624e-02, e+1: -9.637621e-02, T: 6.3096e-09, no:     768, try:      1271000
emin+1: -9.637624e-02, e+1: -9.637622e-02, T: 4.7276e-09, no:     127, try:      1286500
emin+1: -9.637624e-02, e+1: -9.637622e-02, T: 3.9811e-09, no:    1121, try:      1302000
emin+1: -9.637624e-02, e+1: -9.637623e-02, T: 2.9829e-09, no:     446, try:      1317500
emin+1: -9.637624e-02, e+1: -9.637623e-02, T: 2.5119e-09, no:    1497, try:      1333000
emin+1: -9.637624e-02, e+1: -9.637624e-02, T: 1.8821e-09, no:     325, try:      1348500
emin+1: -9.637627e-02, e+1: -9.637625e-02, T: 1.5849e-09, no:     270, try:      1364000
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 1.1875e-09, no:      94, try:      1379500
emin+1: -9.637627e-02, e+1: -9.637626e-02, T: 1.0000e-09, no:      80, try:      1395000
emin+1: -9.637627e-02, e+1: -9.637626e-02, T: 7.4928e-10, no:     433, try:      1410500
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 6.3096e-10, no:      81, try:      1426000
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 4.7276e-10, no:       6, try:      1441500
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 3.9811e-10, no:      73, try:      1457000
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 2.9829e-10, no:     181, try:      1472500
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 2.5119e-10, no:       1, try:      1488000
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 1.8821e-10, no:     659, try:      1503500
emin+1: -9.637627e-02, e+1: -9.637627e-02, T: 1.5849e-10, no:       9, try:      1519000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.1875e-10, no:      92, try:      1534500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.0000e-10, no:     293, try:      1550000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 7.4928e-11, no:     643, try:      1565500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 6.3096e-11, no:     366, try:      1581000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 4.7276e-11, no:      90, try:      1596500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 3.9811e-11, no:     457, try:      1612000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 2.9829e-11, no:     212, try:      1627500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 2.5119e-11, no:      10, try:      1643000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.8821e-11, no:      15, try:      1658500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.5849e-11, no:     251, try:      1674000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.1875e-11, no:       9, try:      1689500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.0000e-11, no:       1, try:      1705000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 7.4928e-12, no:      28, try:      1720500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 6.3096e-12, no:       5, try:      1736000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 4.7276e-12, no:       0, try:      1751500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 3.9811e-12, no:      17, try:      1767000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 2.9829e-12, no:       9, try:      1782500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 2.5119e-12, no:      14, try:      1798000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.8821e-12, no:      10, try:      1813500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.5849e-12, no:       6, try:      1829000
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.1875e-12, no:       5, try:      1844500
emin+1: -9.637628e-02, e+1: -9.637628e-02, T: 1.0000e-12, no:      25, try:      1860000
